customer_id,customer_name,cluster_id,cluster
1,Patricia Behrmann,4.0,gamers
2,Virginia Hernandez,3.0,veggies
3,Vivian Mink,3.0,veggies
4,Christine Herrington,5.0,low standards
5,Brandon Robinson,2.0,parents
6,William Elrod,4.0,gamers
7,Eva Andreason,0.0,spenders
8,Kenneth Morano,2.0,parents
9,Nina Barton,4.0,gamers
10,Diane Hernandez,3.0,veggies
11,Vanetta Hart,0.0,spenders
12,Mildred David,4.0,gamers
13,Shirley Mcclellan,1.0,promo hunters
14,Amy Alonso,0.0,spenders
15,Doris Kennedy,3.0,veggies
16,George Jennings,4.0,gamers
17,Sue Morrell,3.0,veggies
18,Claude Milewski,4.0,gamers
19,Margarita Martinez,0.0,spenders
20,Jason Davidson,2.0,parents
21,John Talbert,5.0,low standards
22,Robert Mason,4.0,gamers
23,Howard Burnett,3.0,veggies
24,Heath Gravitt,4.0,gamers
25,Irish Olson,2.0,parents
26,Marilu Noel,2.0,parents
27,James Moses,5.0,low standards
28,Lloyd Morad,5.0,low standards
29,Jennifer Jones,1.0,promo hunters
30,Kenneth Woods,7.0,young adults
31,Salvador Leachman,3.0,veggies
32,Joshua Goodson,2.0,parents
33,David Pettit,3.0,veggies
34,Sonya Johnson,2.0,parents
35,Linda Glover,5.0,low standards
36,Stephen Frentzel,2.0,parents
37,Shirley Love,0.0,spenders
38,Brenda Shelvey,7.0,young adults
39,Taylor Marsh,3.0,veggies
40,Leroy Bell,4.0,gamers
41,Louis Pate,5.0,low standards
42,Teresa Villa,4.0,gamers
43,Robert Simoneavd,4.0,gamers
44,Mary Ryant,1.0,promo hunters
45,Glenn Nolen,0.0,spenders
46,Angela`s Supermarket,9.0,supermarket
47,Cheryl Kamp,3.0,veggies
48,Dalia Condra,1.0,promo hunters
49,Joshua Gonzales,1.0,promo hunters
50,James Duenas,3.0,veggies
51,Anna Russel,2.0,parents
52,Jeffrey Dixon,5.0,low standards
53,Leonard Candelaria,3.0,veggies
54,Dolores Terrell,1.0,promo hunters
55,John Gabbard,0.0,spenders
56,Florence Mueller,0.0,spenders
57,William Villarreal,3.0,veggies
58,Ruben Charania,7.0,young adults
59,Betty Thomas,1.0,promo hunters
60,David Schinkel,4.0,gamers
61,Arthur Dunkle,7.0,young adults
62,Robert Manley,6.0,alcoholics
63,Kim Lafrance,4.0,gamers
64,Belinda Logsdon,2.0,parents
65,Bradford Rowden,5.0,low standards
66,Alonzo Eckles,0.0,spenders
67,Anna Vo,3.0,veggies
